name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Sebaldella	32068	G	60	0.00002	56	0.00001	19	0.00001	42	0.00001	0	0.00000
Streptobacillus	34104	G	28	0.00001	2	0.00000	2	0.00000	12	0.00000	0	0.00000
Sneathia	168808	G	700	0.00027	12	0.00000	9	0.00000	8	0.00000	1	0.00000
Gimesia	1649453	G	29	0.00001	37	0.00001	31	0.00001	96	0.00002	1	0.00000
Fuerstia	1936111	G	15	0.00001	3	0.00000	6	0.00000	19	0.00000	0	0.00000
Planctopirus	1649480	G	3	0.00000	21	0.00000	12	0.00000	48	0.00001	0	0.00000
Rubinisphaera	1649490	G	1	0.00000	19	0.00000	6	0.00000	18	0.00000	0	0.00000
Bythopirellula	1400386	G	6	0.00000	13	0.00000	16	0.00000	25	0.00000	1	0.00000
Lacipirellula	2691417	G	7	0.00000	0	0.00000	3	0.00000	5	0.00000	1	0.00000
Pirellula	123	G	5	0.00000	10	0.00000	26	0.00001	5	0.00000	0	0.00000
Mariniblastus	2005380	G	2	0.00000	22	0.00000	16	0.00000	29	0.00001	0	0.00000
Rhodopirellula	265488	G	1	0.00000	23	0.00000	1	0.00000	30	0.00001	0	0.00000
Roseimaritima	1579506	G	1	0.00000	10	0.00000	16	0.00000	22	0.00000	0	0.00000
Thermogutta	1676125	G	6	0.00000	9	0.00000	2	0.00000	5	0.00000	0	0.00000
Gemmata	113	G	8	0.00000	83	0.00002	58	0.00002	60	0.00001	1	0.00000
Limnoglobus	2731450	G	2	0.00000	7	0.00000	1	0.00000	12	0.00000	0	0.00000
Tuwongella	2051044	G	2	0.00000	12	0.00000	17	0.00000	43	0.00001	0	0.00000
Isosphaera	127	G	3	0.00000	0	0.00000	3	0.00000	11	0.00000	0	0.00000
Aquisphaera	1511635	G	3	0.00000	14	0.00000	13	0.00000	31	0.00001	0	0.00000
Paludisphaera	1763521	G	3	0.00000	21	0.00000	17	0.00000	37	0.00001	0	0.00000
Sedimentisphaera	2483368	G	2	0.00000	19	0.00000	7	0.00000	33	0.00001	0	0.00000
Limihaloglobus	2690160	G	1	0.00000	2	0.00000	5	0.00000	7	0.00000	0	0.00000
Candidatus Kuenenia	380738	G	3	0.00000	96	0.00002	46	0.00001	107	0.00002	0	0.00000
Chlamydia	810	G	203	0.00008	21	0.00000	16	0.00000	28	0.00001	14	0.00000
Waddlia	71666	G	57	0.00002	8	0.00000	8	0.00000	7	0.00000	0	0.00000
Candidatus Protochlamydia	282132	G	4	0.00000	5	0.00000	5	0.00000	9	0.00000	0	0.00000
Parachlamydia	83551	G	2	0.00000	5	0.00000	8	0.00000	3	0.00000	0	0.00000
Neochlamydia	112987	G	1	0.00000	1	0.00000	0	0.00000	2	0.00000	0	0.00000
Simkania	34093	G	70	0.00003	3	0.00000	0	0.00000	26	0.00001	0	0.00000
Akkermansia	239934	G	34	0.00001	245209	0.04558	476628	0.13491	245769	0.04813	51	0.00001
Roseimicrobium	1348508	G	2	0.00000	9	0.00000	12	0.00000	11	0.00000	0	0.00000
Verrucomicrobium	2735	G	2	0.00000	1	0.00000	12	0.00000	15	0.00000	0	0.00000
